2026-04-27 21:26:46 | INFO  | app.service.agents.factory | _initialize_agents:57 | 初始化 Agent: PlannerAgent
2026-04-27 21:26:46 | INFO  | app.service.register.service_initializer | initialize_cli_services:73 | Agent 工厂初始化完成
2026-04-27 21:26:46 | INFO  | dependencies.redis | get_client:35 | Redis 连接初始化完成
2026-04-27 21:26:46 | INFO  | app.service.memory.short_term | initialize:51 | 短期记忆 (Redis) 初始化完成
2026-04-27 21:26:46 | INFO  | app.service.memory.long_term | initialize:63 | 长期记忆未启用（向量存储不可用）
2026-04-27 21:26:46 | INFO  | app.service.memory.manager | initialize:60 | 记忆管理器初始化完成（短期+长期）
2026-04-27 21:26:46 | INFO  | app.service.register.service_initializer | initialize_cli_services:89 | 记忆管理器初始化完成
2026-04-27 21:26:46 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .pdf
2026-04-27 21:26:46 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .docx
2026-04-27 21:26:46 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .doc
2026-04-27 21:26:46 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .txt
2026-04-27 21:26:46 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .md
2026-04-27 21:26:46 | INFO  | app.service.rag.document_loaders | register_loader:291 | 注册文档加载器: .markdown
2026-04-27 21:26:46 | INFO  | app.service.rag.document_loaders | init_default_loaders:335 | 初始化默认文档加载器完成
2026-04-27 21:26:46 | INFO  | app.service.rag.reranker | load_model:100 | 重排序模型加载: BAAI/bge-reranker-v2-m3 (模拟)
2026-04-27 21:26:46 | INFO  | app.service.rag.rag_service | initialize:116 | RAG 服务初始化完成
2026-04-27 21:26:46 | INFO  | app.service.register.service_initializer | initialize_cli_services:106 | RAG 服务初始化完成
2026-04-27 21:26:46 | INFO  | app.service.skills.skill_registry | initialize:168 | 技能注册表初始化完成
